@RELATION league

@ATTRIBUTE champ1, numeric
@ATTRIBUTE kills1, numeric
@ATTRIBUTE deaths1, numeric
@ATTRIBUTE assists1, numeric
@ATTRIBUTE goldEarned1, numeric
@ATTRIBUTE totalMinionsKilled1, numeric
@ATTRIBUTE neutralMinionsKilled1, numeric
@ATTRIBUTE wardsPlaced1, numeric

@ATTRIBUTE champ2, numeric
@ATTRIBUTE kills2, numeric
@ATTRIBUTE deaths2, numeric
@ATTRIBUTE assists2, numeric
@ATTRIBUTE goldEarned2, numeric
@ATTRIBUTE totalMinionsKilled2, numeric
@ATTRIBUTE neutralMinionsKilled2, numeric
@ATTRIBUTE wardsPlaced2, numeric

@ATTRIBUTE champ3, numeric
@ATTRIBUTE kills3, numeric
@ATTRIBUTE deaths3, numeric
@ATTRIBUTE assists3, numeric
@ATTRIBUTE goldEarned3, numeric
@ATTRIBUTE totalMinionsKilled3, numeric
@ATTRIBUTE neutralMinionsKilled3, numeric
@ATTRIBUTE wardsPlaced3, numeric

@ATTRIBUTE champ4, numeric
@ATTRIBUTE kills4, numeric
@ATTRIBUTE deaths4, numeric
@ATTRIBUTE assists4, numeric
@ATTRIBUTE goldEarned4, numeric
@ATTRIBUTE totalMinionsKilled4, numeric
@ATTRIBUTE neutralMinionsKilled4, numeric
@ATTRIBUTE wardsPlaced4, numeric

@ATTRIBUTE champ5, numeric
@ATTRIBUTE kills5, numeric
@ATTRIBUTE deaths5, numeric
@ATTRIBUTE assists5, numeric
@ATTRIBUTE goldEarned5, numeric
@ATTRIBUTE totalMinionsKilled5, numeric
@ATTRIBUTE neutralMinionsKilled5, numeric
@ATTRIBUTE wardsPlaced5, numeric

@ATTRIBUTE champ6, numeric
@ATTRIBUTE kills6, numeric
@ATTRIBUTE deaths6, numeric
@ATTRIBUTE assists6, numeric
@ATTRIBUTE goldEarned6, numeric
@ATTRIBUTE totalMinionsKilled6, numeric
@ATTRIBUTE neutralMinionsKilled6, numeric
@ATTRIBUTE wardsPlaced6, numeric

@ATTRIBUTE champ7, numeric
@ATTRIBUTE kills7, numeric
@ATTRIBUTE deaths7, numeric
@ATTRIBUTE assists7, numeric
@ATTRIBUTE goldEarned7, numeric
@ATTRIBUTE totalMinionsKilled7, numeric
@ATTRIBUTE neutralMinionsKilled7, numeric
@ATTRIBUTE wardsPlaced7, numeric

@ATTRIBUTE champ8, numeric
@ATTRIBUTE kills8, numeric
@ATTRIBUTE deaths8, numeric
@ATTRIBUTE assists8, numeric
@ATTRIBUTE goldEarned8, numeric
@ATTRIBUTE totalMinionsKilled8, numeric
@ATTRIBUTE neutralMinionsKilled8, numeric
@ATTRIBUTE wardsPlaced8, numeric

@ATTRIBUTE champ9, numeric
@ATTRIBUTE kills9, numeric
@ATTRIBUTE deaths9, numeric
@ATTRIBUTE assists9, numeric
@ATTRIBUTE goldEarned9, numeric
@ATTRIBUTE totalMinionsKilled9, numeric
@ATTRIBUTE neutralMinionsKilled9, numeric
@ATTRIBUTE wardsPlaced9, numeric

@ATTRIBUTE champ10, numeric
@ATTRIBUTE kills10, numeric
@ATTRIBUTE deaths10, numeric
@ATTRIBUTE assists10, numeric
@ATTRIBUTE goldEarned10, numeric
@ATTRIBUTE totalMinionsKilled10, numeric
@ATTRIBUTE neutralMinionsKilled10, numeric
@ATTRIBUTE wardsPlaced10, numeric

@ATTRIBUTE win, { True, False }

@data
102,3,5,12,13784,185,29,8,222,12,4,9,16447,240,10,4,412,2,5,18,10977,11,0,22,238,11,4,7,15284,215,19,1,11,9,6,3,13163,52,77,7,76,2,7,5,9603,155,3,6,57,12,6,7,14193,80,76,6,126,3,10,8,10875,168,3,12,236,7,6,4,12988,225,15,8,89,0,9,12,7407,39,0,35,True
17,7,6,5,11767,160,8,1,99,12,4,13,12954,132,1,0,98,4,3,25,11889,94,0,16,133,6,14,15,12682,148,21,4,54,12,8,17,15725,85,75,10,106,5,6,11,10440,73,18,1,104,11,11,10,13557,191,1,9,86,5,7,4,9632,120,1,2,76,8,10,4,9735,89,0,2,53,6,7,10,8385,15,0,7,True
91,10,10,11,12672,145,5,7,102,1,6,20,12314,59,52,8,75,9,1,9,15458,256,16,6,104,11,5,9,13923,158,15,6,99,12,6,14,13799,59,3,11,54,7,4,9,12129,66,54,10,31,6,7,5,10353,148,7,12,51,2,9,5,10177,196,4,6,131,7,11,9,10734,116,4,5,4,5,12,8,11292,93,2,10,True
104,2,5,6,12589,246,9,6,103,10,6,7,12500,147,4,6,77,5,5,12,12857,46,78,5,62,6,7,10,14576,269,0,8,54,4,5,11,9841,64,2,20,35,7,9,8,11718,54,66,2,236,5,3,10,12535,222,12,4,37,2,1,14,8868,18,0,16,7,8,6,9,10402,111,8,9,133,6,8,7,11921,198,4,25,True
54,5,2,12,11735,184,6,14,115,13,3,10,12463,146,5,7,79,8,1,9,12373,52,81,5,53,8,4,21,11986,62,3,9,67,11,7,17,14755,202,8,7,50,3,7,5,7706,100,0,7,77,4,8,7,9665,50,60,0,429,7,10,4,10666,161,7,1,412,0,12,7,6026,11,0,17,31,3,8,2,8516,160,0,3,True
92,5,9,8,12987,238,23,8,1,7,6,9,10973,129,0,5,29,11,8,8,14195,201,7,5,64,7,14,11,10212,19,51,18,201,5,5,17,10261,34,0,33,60,4,4,13,11721,60,47,19,75,11,6,16,14875,137,19,8,7,20,8,10,16545,166,6,2,53,2,8,17,10128,45,0,14,67,5,9,10,11397,129,9,5,False
254,9,5,13,14052,33,92,9,21,2,6,8,11849,189,11,12,432,2,6,18,9777,9,0,21,112,11,4,12,14217,176,4,5,80,17,7,12,14708,162,3,15,114,4,7,4,9090,108,0,6,89,0,7,12,7523,26,0,15,31,8,5,7,12179,51,53,4,41,7,15,6,13618,201,6,8,104,9,7,6,13922,226,12,8,True
117,0,4,19,7934,13,2,41,22,13,1,6,14376,181,3,7,254,3,4,13,13760,62,106,6,92,5,6,9,11285,176,0,4,55,9,6,7,11944,153,7,8,25,3,7,7,8754,120,3,6,113,2,6,12,10591,49,69,19,37,3,8,10,7625,7,0,16,236,2,2,9,11484,222,4,10,114,10,7,5,10110,83,3,10,True
51,6,3,9,14425,228,35,8,103,9,4,8,13515,198,5,18,105,5,5,8,11749,50,67,4,126,6,3,11,13742,210,22,9,40,2,1,15,10143,18,0,38,154,2,5,6,10521,52,88,4,1,3,6,7,9748,144,5,15,85,3,8,3,10840,222,2,12,236,7,3,4,13389,264,7,6,53,0,6,8,7605,41,3,35,True
133,16,4,4,16307,230,8,9,22,2,5,10,14408,235,18,7,14,4,6,9,9563,68,6,10,238,12,6,3,14213,207,1,4,20,2,6,12,11988,29,62,9,157,5,9,9,12074,197,10,5,81,6,5,5,10671,179,0,6,86,4,7,7,9146,94,2,13,131,9,9,6,13348,81,89,7,412,2,7,13,8791,56,0,7,True
104,1,8,2,10783,246,5,6,4,3,5,2,11115,214,2,8,37,2,4,3,7376,15,1,26,92,8,11,1,12629,229,9,11,9,1,5,4,7643,13,41,0,64,2,5,10,12573,16,109,35,40,1,4,12,9607,13,0,34,43,12,0,8,15040,224,12,11,75,13,4,9,15283,195,13,4,67,5,3,2,13140,264,6,5,False
120,6,8,7,11040,174,4,5,236,5,10,9,11559,187,10,4,412,1,7,13,7940,31,0,14,157,4,11,10,11667,196,9,5,64,11,6,6,11395,34,51,21,81,16,4,6,15322,204,19,4,28,5,6,19,11912,31,49,6,29,9,7,15,12956,154,5,6,40,2,3,22,10109,29,0,43,1,10,7,10,13712,207,23,8,False
39,5,6,5,10800,183,3,9,42,4,3,5,12054,233,15,6,120,14,5,7,14718,208,9,2,32,3,1,14,12406,55,81,8,40,0,7,14,8089,12,0,38,75,1,5,4,10244,234,2,10,412,3,4,11,10968,176,1,10,59,5,6,15,11400,48,66,9,55,10,5,7,12379,175,7,7,53,3,6,7,8518,51,0,26,True
429,8,5,9,12271,171,12,9,54,6,1,14,11241,116,5,6,157,7,5,11,12573,199,11,6,421,3,0,9,11010,23,75,14,89,5,3,15,9298,35,0,19,7,3,5,2,8340,125,0,8,53,3,4,6,7636,48,1,30,33,2,6,5,8589,34,51,3,22,5,7,5,10343,179,1,4,59,1,7,2,9522,206,0,7,True
104,6,4,1,11119,213,0,3,161,2,7,8,8562,43,0,9,254,5,5,10,10208,28,59,6,79,7,1,7,9989,126,8,3,31,10,3,2,11546,163,8,8,115,0,0,0,4059,0,0,0,121,3,9,3,8082,111,3,3,14,4,8,7,8651,93,0,4,120,9,5,1,11578,138,30,5,133,3,8,3,7697,101,2,5,True
8,14,4,7,11472,122,0,4,267,1,3,14,7673,6,1,35,119,9,0,6,12939,203,5,6,36,1,1,9,7702,93,5,4,62,4,2,12,11161,96,48,8,238,3,6,1,8418,138,4,6,429,3,6,3,8966,155,1,3,44,0,4,4,5582,33,0,11,122,2,8,0,8201,140,1,5,48,2,5,3,8508,72,44,4,True
222,3,4,12,12605,222,9,4,105,17,2,8,16190,54,91,5,82,5,3,7,12775,245,10,20,103,6,3,9,11687,165,6,10,53,2,2,7,7402,29,0,13,54,3,4,3,7637,116,1,3,10,3,11,5,9559,194,5,5,111,2,5,4,8884,47,66,7,67,6,5,3,10477,188,7,6,89,0,8,5,5820,37,0,26,True
51,4,4,9,11446,187,2,5,19,10,8,1,10901,49,48,6,157,5,15,3,9363,125,11,10,267,2,8,9,8867,10,0,27,98,3,4,7,10431,180,2,8,127,4,3,17,11803,160,15,10,120,7,5,15,11423,56,42,9,24,17,5,9,13706,136,15,6,133,8,7,9,11681,143,20,5,54,3,4,16,8920,32,1,4,False
19,2,2,17,10919,23,70,5,5,5,3,4,10263,154,7,4,67,20,2,4,15305,199,8,6,103,2,1,11,10075,137,6,4,412,2,1,19,9200,25,0,29,82,0,6,2,7359,169,5,9,16,0,7,5,5928,13,0,16,31,5,5,1,9287,181,0,6,41,3,7,2,9939,38,82,6,110,1,6,2,6592,102,5,8,True
42,2,3,4,9685,201,5,7,254,6,3,3,9992,19,70,7,40,0,0,9,6971,6,0,23,75,7,1,4,11913,212,0,3,236,3,0,4,10334,207,2,3,238,3,3,3,9176,188,3,13,50,1,4,2,7984,173,0,3,51,0,4,1,8373,199,6,3,105,3,4,1,8536,26,67,7,25,0,3,3,5772,17,0,18,True
4,8,5,15,12107,144,7,6,22,9,4,10,11532,127,11,8,99,11,2,17,11523,47,8,9,75,7,1,9,12108,224,3,5,120,6,3,13,9954,35,36,3,42,2,11,5,8658,139,0,10,131,4,7,5,9056,131,3,5,89,3,10,3,7055,36,0,5,24,3,6,1,9326,167,1,4,254,2,7,3,7719,15,55,8,True
107,6,11,11,9912,64,44,9,92,10,8,8,11670,161,20,7,51,4,6,7,10521,187,8,2,54,1,8,14,7612,52,0,17,63,3,12,4,7263,108,3,5,150,6,3,15,11908,167,0,1,157,17,6,11,14567,149,14,6,80,9,5,17,12064,39,41,6,222,10,5,11,12334,123,6,3,53,2,5,18,9976,66,0,18,False
48,2,7,5,8983,59,64,7,81,4,7,5,9631,162,10,2,16,0,9,11,6589,5,0,10,157,9,10,1,11529,178,11,11,92,5,8,2,10436,187,9,2,76,15,4,6,13188,151,7,5,412,1,4,17,8436,25,0,27,62,16,4,10,15320,92,64,8,67,4,5,7,11193,201,17,5,17,5,3,9,10916,149,4,6,False
38,4,5,2,8242,128,3,10,8,1,7,4,8911,187,0,6,429,4,8,5,9986,193,7,7,143,2,7,8,7750,16,0,15,254,3,5,8,7917,40,31,5,103,5,3,7,10266,146,13,3,40,1,3,23,9481,15,0,27,106,6,3,8,11123,37,63,7,39,11,3,2,12300,192,3,7,222,9,2,12,13252,189,18,4,False
99,12,9,12,17882,253,13,10,236,8,7,13,21070,387,18,10,64,3,10,17,15374,103,69,30,412,0,9,20,12154,60,0,38,58,10,6,6,21658,422,13,6,267,4,7,25,17185,34,0,64,35,7,7,7,20174,144,127,19,78,10,11,5,17128,205,13,10,50,11,6,15,19438,259,16,18,81,9,2,16,19616,249,22,6,False
222,11,10,15,20803,278,48,11,267,2,10,20,13301,42,0,44,106,9,15,14,15660,61,57,1,103,15,5,10,19690,283,7,14,14,2,6,9,15630,271,12,15,76,6,7,9,16495,253,14,30,15,11,5,19,19998,255,29,9,161,5,8,14,16926,273,10,15,59,5,14,22,17488,79,80,10,126,19,5,10,19851,169,49,32,False
81,19,7,11,22465,332,8,8,112,20,11,14,20227,254,0,13,107,12,9,15,19322,91,103,12,39,4,11,12,15788,226,10,9,89,5,14,23,15786,71,0,32,106,10,10,23,18228,98,72,6,30,13,16,15,19425,292,19,7,53,3,13,31,14454,35,0,33,17,9,13,11,17419,307,2,12,51,17,8,16,21917,321,25,10,False
161,12,6,16,15453,142,5,14,75,5,5,8,15697,247,2,14,35,14,7,12,20380,99,114,13,89,3,9,18,12126,63,3,38,15,13,6,15,19322,227,21,19,51,4,12,9,14809,241,1,8,101,7,8,10,16363,249,2,14,432,3,11,15,13344,47,0,18,113,8,8,12,16618,107,66,30,120,10,8,7,17974,297,14,17,True
85,8,13,5,13828,179,7,6,67,23,4,11,23175,302,43,3,64,5,6,15,14669,70,74,21,25,11,5,18,19882,278,20,34,16,1,7,25,12874,16,0,29,238,7,14,5,15140,205,33,10,117,3,5,17,12295,40,0,24,236,6,9,10,17395,314,6,14,127,9,7,14,17975,309,0,8,9,9,13,12,14608,46,80,31,True
40,0,4,40,13610,8,0,39,31,8,11,12,16956,280,20,15,101,13,10,21,16332,177,11,13,72,8,9,20,16378,65,82,11,15,13,9,19,18851,289,15,6,120,17,5,12,20181,264,28,8,111,2,10,24,12945,70,0,55,104,6,11,11,16780,293,8,7,8,12,7,14,20414,331,51,7,106,6,9,13,13782,44,70,8,False
429,8,0,11,18386,323,15,6,92,13,3,3,15251,184,12,10,74,9,5,8,15389,234,1,7,31,2,5,11,15468,67,125,12,89,1,4,12,9395,41,0,46,222,3,2,5,14495,299,8,7,7,9,8,3,12490,152,6,4,13,4,9,4,12766,213,0,6,106,1,8,11,12397,81,73,3,53,0,6,9,9442,42,0,19,True
18,2,12,13,11715,145,1,8,266,3,9,15,14284,231,23,5,412,1,9,22,10279,43,0,26,11,24,12,12,19788,111,72,3,76,22,9,7,17444,165,10,11,31,16,11,14,17750,205,18,2,106,17,8,17,17207,74,55,10,22,7,17,16,17377,207,13,5,37,5,8,30,14599,36,2,23,14,6,10,27,15492,167,6,7,False
7,14,3,10,14488,162,4,11,83,6,5,11,14987,279,0,8,32,0,4,16,10642,37,57,15,429,12,7,11,16096,230,18,11,89,4,4,14,10922,55,5,19,25,2,6,9,10531,157,1,18,85,4,8,6,9859,141,7,3,1,6,9,9,10150,32,0,25,236,8,4,8,15132,286,6,8,59,3,9,9,12079,64,87,9,True
50,14,11,4,13814,136,19,5,150,7,7,7,13732,211,13,19,113,2,12,10,10582,60,38,18,51,6,8,3,12764,185,16,6,31,2,6,5,9010,71,0,14,62,13,8,10,16387,234,10,10,267,2,2,21,13271,34,0,36,96,6,6,5,13918,234,8,5,238,6,10,14,13928,170,13,6,106,17,5,14,18530,58,105,8,False
51,7,3,8,15145,243,8,14,238,11,9,5,14904,196,5,12,54,8,4,14,15726,89,91,8,74,5,8,12,14143,206,14,12,25,1,9,16,11730,47,0,41,33,1,6,18,13205,86,59,7,24,11,5,3,16048,253,18,9,1,10,11,4,13591,167,10,8,40,2,3,22,12459,18,0,39,236,6,7,10,16210,305,9,14,True
157,19,10,15,20566,256,36,7,268,5,8,23,15139,187,12,11,59,16,9,23,18332,95,49,10,119,11,7,15,17077,175,7,5,40,0,5,33,12840,18,0,19,83,4,11,4,12388,190,5,18,23,14,9,11,19030,111,101,5,104,12,13,13,18527,299,18,12,8,5,10,10,14164,201,31,0,37,4,9,25,13610,16,0,22,True
102,8,5,12,15544,91,92,19,222,3,6,7,13714,245,18,6,61,5,4,13,13105,172,10,15,122,14,13,8,17778,271,18,4,117,1,10,14,9801,34,0,22,6,5,7,15,15740,227,9,4,57,7,7,13,15170,190,0,17,111,2,6,22,12417,52,0,26,429,12,5,10,18037,292,13,7,76,12,6,12,17130,104,72,4,False
98,14,10,23,15681,99,7,0,120,8,13,19,17899,162,62,2,63,17,16,24,16143,95,3,6,22,13,13,20,18450,183,19,12,37,16,9,31,18082,19,0,10,161,7,14,18,15368,211,3,5,81,16,15,24,19560,198,4,5,412,9,14,25,13156,49,0,16,80,12,13,6,13958,68,59,7,27,17,12,15,17242,188,3,5,True
51,10,8,10,18180,306,22,2,34,7,4,13,16158,261,10,13,120,9,10,13,14798,172,15,9,80,14,6,13,14651,39,50,12,53,2,4,18,11018,30,0,38,222,5,7,11,16060,291,12,5,76,10,6,9,16303,88,93,7,7,7,8,7,14158,201,18,14,62,6,9,12,14876,210,14,15,89,4,12,14,10523,41,1,23,True
51,6,8,8,15952,306,6,4,40,1,9,9,9048,27,0,30,62,18,12,6,16709,197,12,1,63,2,9,10,9995,130,2,8,59,3,10,13,11480,86,48,4,25,3,2,25,12943,23,2,33,15,11,5,11,17030,261,15,11,103,9,8,12,13427,150,19,1,2,17,7,9,16233,56,78,5,31,7,8,15,16559,250,24,11,False
1,17,4,18,15378,140,7,6,22,8,8,14,15200,185,12,3,421,2,11,6,10002,102,26,12,40,2,4,27,12009,5,0,48,131,13,7,8,15619,215,11,6,115,10,8,11,13761,211,0,9,54,4,9,8,9325,80,0,8,21,5,6,11,13368,185,26,0,12,2,9,17,9804,30,2,23,5,11,10,6,13019,90,32,7,True
67,8,11,12,13812,165,1,4,106,8,14,1,11889,139,4,1,103,18,8,8,15570,152,1,7,19,0,0,0,10513,27,108,5,1,10,13,11,13181,55,13,8,266,5,5,15,13736,156,14,2,115,17,12,8,16622,175,7,3,222,7,11,14,14297,149,18,8,24,15,9,10,16823,90,45,8,89,2,7,19,10451,41,0,10,False
41,8,7,9,14536,210,17,4,19,1,12,10,9437,21,58,5,37,2,7,16,9091,4,0,20,103,4,5,10,10909,167,6,8,81,13,4,5,15624,234,25,4,9,13,7,12,15591,36,88,5,429,5,8,7,12400,169,21,7,36,9,0,10,15060,257,7,5,89,0,9,10,9007,63,1,26,43,8,4,11,12878,139,2,8,False
267,0,7,17,9829,11,0,21,5,6,10,9,10385,43,32,12,101,11,11,10,12924,158,5,5,51,9,8,4,14994,285,19,4,31,8,6,13,14745,213,12,9,236,6,3,15,14747,203,14,6,105,5,6,7,13164,21,91,7,238,21,6,6,18254,204,14,8,412,3,11,20,12717,41,3,16,127,7,8,12,15066,253,3,6,False
32,2,8,8,12630,62,98,7,222,9,10,12,14666,220,5,3,35,10,11,8,13511,146,11,9,432,2,12,14,9589,14,0,23,421,11,12,12,14578,215,5,8,41,16,6,6,18548,259,3,3,37,8,7,23,12514,14,0,25,127,8,8,18,13828,140,3,8,119,13,5,13,18432,229,17,0,106,8,8,16,14052,75,39,4,False
29,11,6,10,14928,194,15,5,32,5,6,8,13484,57,93,9,157,7,7,2,16047,337,4,5,40,0,3,24,11462,12,0,33,8,4,4,8,11158,128,6,12,76,5,2,8,11912,199,8,17,48,8,6,5,11368,32,55,7,99,5,5,10,12309,185,13,7,236,5,7,8,13756,244,12,10,53,2,7,15,9847,18,0,25,True
76,18,6,8,16825,67,88,6,8,7,5,13,14743,230,13,7,157,7,5,6,13089,177,37,13,37,1,5,15,10308,30,1,22,104,6,1,6,13698,197,26,12,64,7,12,8,10492,51,45,17,29,3,8,6,10085,181,1,5,103,3,5,3,10287,216,6,6,80,8,9,3,10213,123,2,10,40,1,5,15,10247,13,0,18,True
